INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:10433100, avg:10433100, best:10433100)
INFO:root:episode     0 complete - reward(new:232593600, avg:12654705, best:232593600)
INFO:root:episode     0 complete - reward(new:125069900, avg:13778857, best:232593600)
INFO:root:episode     0 complete - reward(new:85065500, avg:14491723, best:232593600)
INFO:root:episode     0 complete - reward(new:203903900, avg:16385845, best:232593600)
INFO:root:episode     0 complete - reward(new:181338800, avg:18035375, best:232593600)
INFO:root:episode     0 complete - reward(new:44210800, avg:18297129, best:232593600)
INFO:root:episode     0 complete - reward(new:24987800, avg:18364036, best:232593600)
INFO:root:episode     0 complete - reward(new:10563800, avg:18286033, best:232593600)
INFO:root:episode     0 complete - reward(new:175322600, avg:19856399, best:232593600)
INFO:root:episode     0 complete - reward(new:96734300, avg:20625178, best:232593600)
INFO:root:episode     0 complete - reward(new:72920400, avg:21148130, best:232593600)
INFO:root:episode     0 complete - reward(new:77668200, avg:21713331, best:232593600)
INFO:root:episode     0 complete - reward(new:42546500, avg:21921663, best:232593600)
INFO:root:episode     0 complete - reward(new:120295500, avg:22905401, best:232593600)
INFO:root:episode     0 complete - reward(new:234785500, avg:25024202, best:234785500)
INFO:root:episode     0 complete - reward(new:71352600, avg:25487486, best:234785500)
INFO:root:episode     0 complete - reward(new:88410600, avg:26116717, best:234785500)
INFO:root:episode     0 complete - reward(new:229198600, avg:28147536, best:234785500)
INFO:root:episode     0 complete - reward(new:5581900, avg:27921880, best:234785500)
INFO:root:episode     0 complete - reward(new:8488900, avg:27727550, best:234785500)
INFO:root:episode     0 complete - reward(new:60588900, avg:28056163, best:234785500)
INFO:root:episode     0 complete - reward(new:111551800, avg:28891120, best:234785500)
INFO:root:episode     0 complete - reward(new:28253600, avg:28884744, best:234785500)
INFO:root:episode     0 complete - reward(new:89408500, avg:29489982, best:234785500)
INFO:root:episode     0 complete - reward(new:102545800, avg:30220540, best:234785500)
INFO:root:episode     0 complete - reward(new:8619900, avg:30004534, best:234785500)
INFO:root:episode     0 complete - reward(new:72374800, avg:30428236, best:234785500)
INFO:root:episode     0 complete - reward(new:75932100, avg:30883275, best:234785500)
INFO:root:episode     0 complete - reward(new:92790400, avg:31502346, best:234785500)
INFO:root:episode     0 complete - reward(new:77736100, avg:31964684, best:234785500)
INFO:root:episode     0 complete - reward(new:103895100, avg:32683988, best:234785500)
INFO:root:episode     0 complete - reward(new:148483600, avg:33841984, best:234785500)
INFO:root:episode     0 complete - reward(new:8268400, avg:33586248, best:234785500)
INFO:root:episode     0 complete - reward(new:96590600, avg:34216292, best:234785500)
INFO:root:episode     0 complete - reward(new:108504800, avg:34959177, best:234785500)
INFO:root:episode     0 complete - reward(new:99858600, avg:35608171, best:234785500)
INFO:root:episode     0 complete - reward(new:242315000, avg:37675239, best:242315000)
INFO:root:episode     0 complete - reward(new:127469400, avg:38573181, best:242315000)
INFO:root:episode     0 complete - reward(new:168190800, avg:39869357, best:242315000)
INFO:root:episode     0 complete - reward(new:109279800, avg:40563462, best:242315000)
INFO:root:episode     0 complete - reward(new:78746600, avg:40945293, best:242315000)
INFO:root:episode     0 complete - reward(new:87957400, avg:41415414, best:242315000)
INFO:root:episode     0 complete - reward(new:68121600, avg:41682476, best:242315000)
INFO:root:episode     0 complete - reward(new:47457200, avg:41740223, best:242315000)
INFO:root:episode     0 complete - reward(new:221816400, avg:43540985, best:242315000)
